lat,long
50.07911,6.80263
50.07911,6.81263
50.07911,6.82263
50.07911,6.83263
50.07911,6.84263
50.07911,6.85263
50.07911,6.86263
50.07911,6.87263
50.07911,6.88263
50.07911,6.89263
50.07911,7.80263
50.07911,7.81263
50.07911,7.82263
50.07911,7.83263
50.07911,7.84263
50.07911,7.85263
50.07911,7.86263
50.07911,7.87263
50.07911,7.88263
50.07911,7.89263
50.07911,8.80263
50.07911,8.81263
50.07911,8.82263
50.07911,8.83263
50.07911,8.84263
50.07911,8.85263
50.07911,8.86263
50.07911,8.87263
50.07911,8.88263
50.07911,8.89263
50.07911,9.80263
50.07911,9.81263
50.07911,9.82263
50.07911,9.83263
50.07911,9.84263
50.07911,9.85263
50.07911,9.86263
50.07911,9.87263
50.07911,9.88263
50.07911,9.89263
50.07911,10.80263
50.07911,10.81263
50.07911,10.82263
50.07911,10.83263
50.07911,10.84263
50.07911,10.85263
50.07911,10.86263
50.07911,10.87263
50.07911,10.88263
50.07911,10.89263
50.07911,11.80263
50.07911,11.81263
50.07911,11.82263
50.07911,11.83263
50.07911,11.84263
50.07911,11.85263
50.07911,11.86263
50.07911,11.87263
50.07911,11.88263
50.07911,11.89263
50.17911,6.80263
50.17911,6.81263
50.17911,6.82263
50.17911,6.83263
50.17911,6.84263
50.17911,6.85263
50.17911,6.86263
50.17911,6.87263
50.17911,6.88263
50.17911,6.89263
50.17911,7.80263
50.17911,7.81263
50.17911,7.82263
50.17911,7.83263
50.17911,7.84263
50.17911,7.85263
50.17911,7.86263
50.17911,7.87263
50.17911,7.88263
50.17911,7.89263
50.17911,8.80263
50.17911,8.81263
50.17911,8.82263
50.17911,8.83263
50.17911,8.84263
50.17911,8.85263
50.17911,8.86263
50.17911,8.87263
50.17911,8.88263
50.17911,8.89263
50.17911,9.80263
50.17911,9.81263
50.17911,9.82263
50.17911,9.83263
50.17911,9.84263
50.17911,9.85263
50.17911,9.86263
50.17911,9.87263
50.17911,9.88263
50.17911,9.89263
50.17911,10.80263
50.17911,10.81263
50.17911,10.82263
50.17911,10.83263
50.17911,10.84263
50.17911,10.85263
50.17911,10.86263
50.17911,10.87263
50.17911,10.88263
50.17911,10.89263
50.17911,11.80263
50.17911,11.81263
50.17911,11.82263
50.17911,11.83263
50.17911,11.84263
50.17911,11.85263
50.17911,11.86263
50.17911,11.87263
50.17911,11.88263
50.17911,11.89263
50.27911,6.80263
50.27911,6.81263
50.27911,6.82263
50.27911,6.83263
50.27911,6.84263
50.27911,6.85263
50.27911,6.86263
50.27911,6.87263
50.27911,6.88263
50.27911,6.89263
50.27911,7.80263
50.27911,7.81263
50.27911,7.82263
50.27911,7.83263
50.27911,7.84263
50.27911,7.85263
50.27911,7.86263
50.27911,7.87263
50.27911,7.88263
50.27911,7.89263
50.27911,8.80263
50.27911,8.81263
50.27911,8.82263
50.27911,8.83263
50.27911,8.84263
50.27911,8.85263
50.27911,8.86263
50.27911,8.87263
50.27911,8.88263
50.27911,8.89263
50.27911,9.80263
50.27911,9.81263
50.27911,9.82263
50.27911,9.83263
50.27911,9.84263
50.27911,9.85263
50.27911,9.86263
50.27911,9.87263
50.27911,9.88263
50.27911,9.89263
50.27911,10.80263
50.27911,10.81263
50.27911,10.82263
50.27911,10.83263
