lat,long
51.04961,6.40363
51.04961,6.41363
51.04961,6.42363
51.04961,6.43363
51.04961,6.44363
51.04961,6.45363
51.04961,6.46363
51.04961,6.47363
51.04961,6.48363
51.04961,6.49363
51.04961,7.40363
51.04961,7.41363
51.04961,7.42363
51.04961,7.43363
51.04961,7.44363
51.04961,7.45363
51.04961,7.46363
51.04961,7.47363
51.04961,7.48363
51.04961,7.49363
51.04961,8.40363
51.04961,8.41363
51.04961,8.42363
51.04961,8.43363
51.04961,8.44363
51.04961,8.45363
51.04961,8.46363
51.04961,8.47363
51.04961,8.48363
51.04961,8.49363
51.04961,9.40363
51.04961,9.41363
51.04961,9.42363
51.04961,9.43363
51.04961,9.44363
51.04961,9.45363
51.04961,9.46363
51.04961,9.47363
51.04961,9.48363
51.04961,9.49363
51.04961,10.40363
51.04961,10.41363
51.04961,10.42363
51.04961,10.43363
51.04961,10.44363
51.04961,10.45363
51.04961,10.46363
51.04961,10.47363
51.04961,10.48363
51.04961,10.49363
51.04961,11.40363
51.04961,11.41363
51.04961,11.42363
51.04961,11.43363
51.04961,11.44363
51.04961,11.45363
51.04961,11.46363
51.04961,11.47363
51.04961,11.48363
51.04961,11.49363
51.04961,12.40363
51.04961,12.41363
51.04961,12.42363
51.04961,12.43363
51.04961,12.44363
51.04961,12.45363
51.04961,12.46363
51.04961,12.47363
51.04961,12.48363
51.04961,12.49363
51.04961,13.40363
51.04961,13.41363
51.04961,13.42363
51.04961,13.43363
51.04961,13.44363
51.04961,13.45363
51.04961,13.46363
51.04961,13.47363
51.04961,13.48363
51.04961,13.49363
51.04961,14.40363
51.04961,14.41363
51.04961,14.42363
51.04961,14.43363
51.04961,14.44363
51.04961,14.45363
51.04961,14.46363
51.04961,14.47363
51.04961,14.48363
51.04961,14.49363
51.14961,6.40363
51.14961,6.41363
51.14961,6.42363
51.14961,6.43363
51.14961,6.44363
51.14961,6.45363
51.14961,6.46363
51.14961,6.47363
51.14961,6.48363
51.14961,6.49363
51.14961,7.40363
51.14961,7.41363
51.14961,7.42363
51.14961,7.43363
51.14961,7.44363
51.14961,7.45363
51.14961,7.46363
51.14961,7.47363
51.14961,7.48363
51.14961,7.49363
51.14961,8.40363
51.14961,8.41363
51.14961,8.42363
51.14961,8.43363
51.14961,8.44363
51.14961,8.45363
51.14961,8.46363
51.14961,8.47363
51.14961,8.48363
51.14961,8.49363
51.14961,9.40363
51.14961,9.41363
51.14961,9.42363
51.14961,9.43363
51.14961,9.44363
51.14961,9.45363
51.14961,9.46363
51.14961,9.47363
51.14961,9.48363
51.14961,9.49363
51.14961,10.40363
51.14961,10.41363
51.14961,10.42363
51.14961,10.43363
51.14961,10.44363
51.14961,10.45363
51.14961,10.46363
51.14961,10.47363
51.14961,10.48363
51.14961,10.49363
51.14961,11.40363
51.14961,11.41363
51.14961,11.42363
51.14961,11.43363
51.14961,11.44363
51.14961,11.45363
51.14961,11.46363
51.14961,11.47363
51.14961,11.48363
51.14961,11.49363
51.14961,12.40363
51.14961,12.41363
51.14961,12.42363
51.14961,12.43363
51.14961,12.44363
51.14961,12.45363
51.14961,12.46363
51.14961,12.47363
51.14961,12.48363
51.14961,12.49363
51.14961,13.40363
51.14961,13.41363
51.14961,13.42363
51.14961,13.43363
51.14961,13.44363
51.14961,13.45363
51.14961,13.46363
51.14961,13.47363
51.14961,13.48363
51.14961,13.49363
51.14961,14.40363
51.14961,14.41363
51.14961,14.42363
51.14961,14.43363
51.14961,14.44363
51.14961,14.45363
51.14961,14.46363
51.14961,14.47363
51.14961,14.48363
51.14961,14.49363
51.24961,6.40363
51.24961,6.41363
51.24961,6.42363
51.24961,6.43363
51.24961,6.44363
51.24961,6.45363
51.24961,6.46363
51.24961,6.47363
51.24961,6.48363
51.24961,6.49363
51.24961,7.40363
51.24961,7.41363
51.24961,7.42363
51.24961,7.43363
51.24961,7.44363
51.24961,7.45363
51.24961,7.46363
51.24961,7.47363
51.24961,7.48363
51.24961,7.49363
51.24961,8.40363
51.24961,8.41363
51.24961,8.42363
51.24961,8.43363
51.24961,8.44363
51.24961,8.45363
51.24961,8.46363
51.24961,8.47363
51.24961,8.48363
51.24961,8.49363
51.24961,9.40363
51.24961,9.41363
51.24961,9.42363
51.24961,9.43363
51.24961,9.44363
51.24961,9.45363
51.24961,9.46363
51.24961,9.47363
51.24961,9.48363
51.24961,9.49363
51.24961,10.40363
51.24961,10.41363
51.24961,10.42363
51.24961,10.43363
51.24961,10.44363
51.24961,10.45363
51.24961,10.46363
51.24961,10.47363
51.24961,10.48363
51.24961,10.49363
51.24961,11.40363
51.24961,11.41363
51.24961,11.42363
51.24961,11.43363
51.24961,11.44363
51.24961,11.45363
51.24961,11.46363
51.24961,11.47363
51.24961,11.48363
51.24961,11.49363
51.24961,12.40363
